id,name,address,year,agency,amount
35,American Wu Shu Society,"34-38 41st Street, Apartment BD Long Island City, NY 11101",2011,DYCD,8000.0
36,Nostrand Residents Association,"2356 Bragg Street, Apt. 4-A Brooklyn, NY 11235",2009,MISC,5000.0
37,Nostrand Residents Association,"2343 Batchelder Street, 1F Brooklyn, NY 11235",2011,MISC,5000.0
38,Nostrand Residents Association,"2343 Batchelder Street- 1F Brooklyn, NY 11229-5355",2012,NYCHA,3500.0
39,"Open Space Alliance for North Brooklyn, Inc.","79 North 11th Street Brooklyn, NY 11211",2011,DPR,5000.0
40,"Open Space Alliance for North Brooklyn, Inc.","79 North 11th Street Brooklyn, NY 11211",2011,DPR,10000.0
41,"Open Space Alliance for North Brooklyn, Inc.","79 North 11th Street Brooklyn, NY 11211",2012,DPR,3500.0
42,"Open Space Alliance for North Brooklyn, Inc.","79 North 11th Street Brooklyn, NY 11211",2012,DPR,5000.0
43,St. John's Recreation Center,"1251 Prospect Place Brooklyn, NY 11213",2011,DFTA,5000.0
44,St. John's Recreation Center,"1251 Prospect Place Brooklyn, NY 11213",2012,DFTA,5000.0
45,"African Refuge, Inc.","185 Park Hill Avenue Staten Island, NY 10304",2011,DYCD,5000.0
46,"African Refuge, Inc.","185 Park Hill Ave Suite LB Staten Island, NY 10304",2012,DYCD,5000.0
47,"Peace Action Fund of New York State, Inc.","630 Ninth Avenue, #807 New York, NY 10036",2011,DYCD,5000.0
48,"Peace Action Fund of New York State, Inc.","64 Fulton Street New York, NY 10038",2012,DYCD,5000.0
49,Church of the Living God International,"205-15 Jamaica Avenue Queens, NY 11423",2012,DOHMH,6400.0
50,"Open House New York, Inc.","115 West 27th Street, 9th Floor New York, NY 10001",2011,DCA,3000.0
51,"Open House New York, Inc.","115 West 27th Street, 9th Floor New York, NY 10001",2011,DYCD,5000.0
52,"Open House New York, Inc.","115 West 27th Street Floor 9 New York, NY 10001-6217",2012,DCA,3500.0
53,"Open House New York, Inc.","115 West 27th Street Floor 9 New York, NY 10001-6217",2012,DCA,4000.0
54,"Open House New York, Inc.","115 West 27th Street Floor 9 New York, NY 10001-6217",2012,DYCD,5000.0
55,"AK Houses Tenant Association, Inc.","112-126 East 128th Street New York, NY 10035",2011,DYCD,3500.0
56,"AK Houses Tenant Association, Inc.","110 East 129th Street New York, NY 10035",2012,DYCD,3500.0
57,"Brooklyn Ballet, Inc.","160 Schermerhorn Street Brooklyn, NY 11201",2011,DCA,4000.0
58,"Brooklyn Ballet, Inc.","160 Schermerhorn Street Brooklyn, NY 11201",2011,DCA,5000.0
59,"Brooklyn Ballet, Inc.","160 Schermerhorn Street Brooklyn, NY 11201",2011,DCA,18500.0
60,"Brooklyn Ballet, Inc.","160 Schermerhorn Street Brooklyn, NY 11201",2012,DCA,18500.0
61,"Brooklyn Ballet, Inc.","160 Schermerhorn Street Brooklyn, NY 11201",2012,DCA,3000.0
62,"Brooklyn Ballet, Inc.","160 Schermerhprn Street Brooklyn, NY 11201",2012,DCA,4000.0
63,Ralph Lauren Center for Cancer Care and Prevention,"1919 Madison Avenue Manhattan, NY 10035",2013,DOHMH,100000.0
64,"Northeastern Conference of Seventh Day Adventists Community Affairs, Inc.","115-50 Merrick Boulevard Jamaica, NY 11484",2011,DFTA,15000.0
65,"Northeastern Conference of Seventh Day Adventists, Inc.","115-50 Merrick Boulevard Jamaica, NY 11434",2011,DYCD,5000.0
66,"Northeastern Conference of Seventh Day Adventists Community Affairs, Inc.","115-50 Merrick Blvd Jamaica, NY 11436",2012,DFTA,15000.0
67,"Parents as Primary Teachers, Inc.","198 Hancock Street Brooklyn, NY 11216",2011,DYCD,10000.0
68,"Parents as Primary Teachers, Inc.","198 Hancock Street Brooklyn, NY 11216-2104",2012,DYCD,10000.0
69,Survivors Fountain of Hope Wellness Initiative ,"436 Lenox Avenue 2nd Fl New York, NY 10037",2011,DOHMH,6400.0
70,Survivors Fountain of Hope Wellness Initiative ,"436 Lenox Avenue 2nd Fl Manhattan, NY 10037",2012,DOHMH,0.0
71,"CONNECT, Inc.",,2012,ACS,330000.0
72,"Connect, Inc.","P.O. Box 20217 Greeley Square Station New York, NY 10001",2011,ACS,270000.0
73,"Connect, Inc.","P.O. Box 20217 Greeley Square Station New York, NY 10001",2011,MISC,81250.0
74,"Connect, Inc. ","P.O. Box 20217 Greeley Square Station New York, NY 10001",2011,DSS,5000.0
75,"Connect, Inc.","P.O. Box 20217, Greeley Square Station New York, NY 10001",2012,MISC,81250.0
76,CONNECT,,2012,ACS,270000.0
77,"Connect, Inc.","PO Box 20217 Greeley Square Station New York, NY 10001",2012,DSS,3500.0
78,"Connect, Inc.","PO Box 20217 Greeley Square Station New York, NY 10001",2012,DYCD,5000.0
79,"Connect, Inc.","PO Box 20217 Greeley Square Station New York, NY 10001",2012,DYCD,3500.0
80,"Connect, Inc.","P.O. Box 20217, Greeley Square Station New York, NY 10001",2013,ACS,300000.0
81,"Connect, Inc.","P.O. Box 20217, Greeley Square Station New York, NY 10001",2013,OCJC,81250.0
82,"Russian American Cultural Heritage Center, Inc., The","34 Hillside Avenue, 4C New York, NY 10040",2011,DYCD,3500.0
83,"Russian American Cultural Heritage Center, Inc., The","34 Hillside Ave 4C New York, NY 10040",2012,DYCD,0.0
84,"Russian American Cultural Heritage Center, Inc., The","34 Hillside Ave 4C New York, NY 10040",2012,DCA,3000.0
85,"Russian American Cultural Heritage Center, Inc., The","34 Hillside Ave 4C New York, NY 10040",2012,DYCD,3500.0
86,"Striking Viking Story Pirates, Inc.","250 West 40th Street New York, NY 10018",2010,DCA,20000.0
87,"Striking Viking Story Pirates, Inc.","56 Beaver Street #205 New York, NY 10004",2010,DCA,20000.0
88,"Striking Viking Story Pirates, Inc.","56 Beaver Street #205 New York, NY 10004",2010,DCA,20000.0
89,"Striking Viking Story Pirates, Inc.","56 Beaver Street #205 New York, NY 10004",2010,DCA,20000.0
90,"Striking Viking Story Pirates, Inc.","56 Beaver Street #205 New York, NY 10004",2010,DCA,20000.0
91,"Striking Viking Story Pirates, Inc.","56 Beaver Street #205 New York, NY 10004",2010,DCA,20000.0
92,"Striking Viking Story Pirates, Inc.","250 West 40th Street New York, NY 10018",2011,DCA,3000.0
93,"Striking Viking Story Pirates, Inc.","250 West 40th Street New York, NY 10018",2011,DYCD,3500.0
94,"Striking Viking Story Pirates, Inc.","250 West 40th Street New York, NY 10018",2011,DCA,20000.0
95,"Striking Viking Story Pirates, Inc.","250 West 40th Street New York, NY 10018",2011,DCA,20000.0
96,"Striking Viking Story Pirates, Inc.","251 West 40th Street New York, NY 10018",2011,DCA,20000.0
97,"Striking Viking Story Pirates, Inc.","252 West 40th Street New York, NY 10018",2011,DCA,20000.0
98,"Striking Viking Story Pirates, Inc.","253 West 40th Street New York, NY 10018",2011,DCA,20000.0
99,"Striking Viking Story Pirates, Inc.","254 West 40th Street New York, NY 10018",2011,DCA,20000.0
100,"Striking Viking Story Pirates, Inc.","co The Drama Bookshop New York, NY 10018",2012,DCA,3000.0
101,"Striking Viking Story Pirates, Inc.","co The Drama Bookshop New York, NY 10018",2012,DYCD,3500.0
102,"Striking Viking Story Pirates, Inc.","250 West 40th Street NY, NY 10018",2012,DCA,20000.0
103,"Striking Viking Story Pirates, Inc.","250 West 40th Street NY, NY 10018",2012,DCA,20000.0
104,"Striking Viking Story Pirates, Inc.","251 West 40th Street NY, NY 10018",2012,DCA,20000.0
105,Middle School 313K - Satellite West MS,"209 York Street Brooklyn, NY 11201",2009,DOE,3500.0
106,St. Andrew's Avellino Athletic Association ,"33-76 159th Street Flushing, NY 11358",2011,DYCD,5000.0
107,   49th Precinct Law Enforcement Explorers Post 2049,"2121 Eastchester Road Bronx, NY 10461",2012,DYCD,3500.0
108, 49th Precinct Law Enforcement Explorers Post 2049,"2121 Eastchester Road Bronx, NY 10461",2011,DYCD,3500.0
109,NYCHA 589 Amsterdam Avenue Tenant Association,"589 Amsterdam Avenue, 14G New York, NY 10024",2011,MISC,2000.0
110,NYCHA 589 Amsterdam Avenue Tenant Association,"589 Amsterdam Avenue, 14G New York, NY 10024",2012,NYCHA,2000.0
111,First Faith Baptist Church,"224-07 Linden Boulevard Cambria Heights, NY 11411",2011,DYCD,15000.0
112,First Faith Baptist Church,"114-02 208th Street Cambria Heights, NY 11411",2012,DYCD,15000.0
113,First Faith Baptist Church,"114-02 208th Street Cambria Heights, NY 11411",2012,DYCD,5000.0
114,"Dem Stars, Inc.","953 EAST 83 STREET Brooklyn, NY 11236",2012,DYCD,7500.0
115,"Dem Stars, Inc.","953 East 83rd Street Brooklyn, NY 11236",2011,DYCD,10000.0
116,"South Brooklyn Youth Consortium, Inc.","2811 Mermaid Avenue, 2nd Floor Brooklyn, NY 11224",2011,DYCD,35000.0
117,"South Brooklyn Youth Consortium, Inc.","2811 Mermaid Avenue, 2nd Floor Broolyn, NY 11224",2011,DYCD,40000.0
118,"South Brooklyn Youth Consortium, Inc.","2811 Mermaid Avenue, 2nd Floor Broolyn, NY 11224",2011,DFTA,79200.0
119,"South Brooklyn Youth Consortium, Inc.","2811 Mermaid Avenue 2nd Floor Brooklyn, NY 11224",2012,DYCD,75000.0
120,"South Brooklyn Youth Consortium, Inc.- South Brooklyn Youth NORC ",,2012,DFTA,79200.0
121,South Brooklyn Youth NORC,,2012,DFTA,0.0
122,"South Brooklyn Youth Consortium, Inc.- South Brooklyn Youth NORC ",,2013,DFTA,79200.0
123,NUR-UL-ISLAM,"149-21 116 STREET SOUTH OZONE PARK, NY 11420",2012,DYCD,7000.0
124,NUR-UL-ISLAM,"149-21 116 STREET SOUTH OZONE PARK, NY 11420",2012,DYCD,3500.0
125,NUR-UL-ISLAM,"149-21 116 STREET SOUTH OZONE PARK, NY 11420",2012,DYCD,1500.0
126,Risley Dent Towers Senior Program,"1595 Fulton Street Brooklyn, NY 11213",2011,DFTA,3000.0
127,Risley Dent Towers Senior Program,"1595 Fulton Street Brooklyn, NY 11213",2011,DFTA,1000.0
128,Risley Dent Towers Senior Program,"1595 Fulton Street Brooklyn, NY 11213",2012,DFTA,4000.0
129,Coney Island History Project,"3059 West 12th Street c/o Deno's Wonder Wheel Park Brooklyn, NY 11224",2012,DCA,0.0
130,Bayview Houses Resident's Association,"2085 Rockaway Parkway #7H Brooklyn, NY 11236",2011,MISC,2300.0
131,Bayview Houses Resident's Association,"2085 Rockaway Parkway Brooklyn, NY 11236",2012,NYCHA,2300.0
132,"Man Up!, Inc.","821 Van Siclen Avenue Brooklyn, NY 11207",2010,DYCD,20000.0
133,"Man Up!, Inc.","821 Van Siclen Avenue Brooklyn, NY 11207",2011,DYCD,28600.0
134,"Man Up!, Inc.","821 Van Siclen Avenue Brooklyn, NY 11207",2011,DYCD,69000.0
135,"Man Up!, Inc.","821B Van Siclen Avenue Brooklyn, NY 11207",2011,DYCD,20000.0
136,"Man Up!, Inc.","821B Van Siclen Avenue Brooklyn, NY 11207",2011,DYCD,20000.0
137,Man Up Inc.,"821b Van Siclen Avenue Brooklyn, NY 11207",2012,DCA,20000.0
138,Man Up Inc.,"821b Van Siclen Avenue Brooklyn, NY 11207",2012,DCA,20000.0
139,"Man Up!, Inc.","821b Van Siclen Avenue Brooklyn, NY 11207-7804",2012,DYCD,50000.0
140,"Man Up!, Inc.","821b Van Siclen Avenue Brooklyn, NY 11207-7804",2012,DYCD,72500.0
141,Grace Baptist Church,"176-10 Jamaica Ave. PO Box 341341 Jamaica, NY 11433",2011,DOHMH,6400.0
142,Grace Baptist Church,"9801-09 Foster Ave. Brooklyn, NY 11236",2012,DOHMH,6400.0
143,"King of Kings Foundation, Inc.","137-11 161 Street, Suite #1 Jamaica, NY 11434",2011,DYCD,3500.0
144,"King of Kings Foundation, Inc.","137-11 161 Street, Suite 1 Jamaica, NY 11434",2011,DYCD,5000.0
145,"King of Kings Foundation, Inc.","137-11 161st Street-Suite 1 Jamaica, NY 11434",2012,DYCD,3500.0
146,"King of Kings Foundation, Inc.","137-11 161st Street-Suite 1 Jamaica, NY 11434",2012,DYCD,5000.0
147,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2011,DYCD,3500.0
148,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2011,DYCD,5000.0
149,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2011,DYCD,8000.0
150,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2011,DYCD,9750.0
151,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2011,DYCD,10000.0
152,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2011,DYCD,10000.0
153,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2011,DYCD,10000.0
154,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2011,DYCD,10000.0
155,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2011,DYCD,15000.0
156,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2011,DYCD,15000.0
157,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2011,DYCD,30000.0
158,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2011,DFTA,50000.0
159,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2012,DYCD,10000.0
160,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2012,DYCD,3500.0
161,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2012,DYCD,45000.0
162,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2012,DYCD,10000.0
163,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2012,DYCD,10000.0
164,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2012,DYCD,15000.0
165,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2012,DYCD,10000.0
166,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2012,DYCD,10000.0
167,"Per Scholas, Inc.","805 East 138th Street Bronx, NY 10454",2012,DYCD,30000.0
168,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2012,DYCD,6500.0
169,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2012,DYCD,5000.0
170,"Per Scholas, Inc.","804 East 138th Street Bronx, NY 10454",2012,DYCD,10000.0
171,Citizen Schools Inc,"55 Exchange Place New York, NY 10005",2012,DYCD,3500.0
172,"Peace First New York, Inc.","581 Avenue of the Americas, 5th Floor New York, NY 10011",2011,DYCD,3500.0
173,"Peace First New York, Inc.","581 Avenue of the Americas New York, NY 10011",2012,DYCD,5000.0
174,Local Development Corporation of Laurelton Rosedale and Springfield Gardens,"232-18 Merrick Boulevard Laurelton, NY 11413",2012,DYCD,3500.0
175,Cathedral of God's International Lighthouse of Power,"194-41 116th Avenue St. Albans, NY 11412",2011,DOHMH,6400.0
176,"Women's Organization Dedicated to Meeting Their Medical and Emotional Needs, Inc.","9201 4th Avenue, 7th Floor Brooklyn, NY 11209",2011,DYCD,30000.0
177,"Women's Organization Dedicated to Meeting Their Medical and Emotional Needs, Inc.","9201 4th Avenue, 7th Floor Brooklyn, NY 11209",2011,DYCD,1000.0
178,"Women's Organization Dedicated to Meeting Their Medical and Emotional Needs, Inc.","9201 Fourth Avenue Brooklyn, NY 11209",2012,DYCD,2000.0
179,"Women's Organization Dedicated to Meeting Their Medical and Emotional Needs, Inc.","9201 Fourth Avenue Brooklyn, NY 11209",2012,DYCD,25000.0
180,"Harlem Drummers, Steppers and Flag Team, Inc.","221 East 122nd Street, Suite 1603 New York, NY 10035",2011,DYCD,3786.0
181,"Harlem Drummers, Steppers and Flag Team, Inc.","221 East 122nd Street, Suite 1603 New York, NY 10035",2011,DYCD,11214.0
182,Pleasant Grove Full Gospel Tabernacle,"1927 Fulton St. Brooklyn, NY 11233",2011,DOHMH,6400.0
183,Pleasant Grove Full Gospel Tabernacle,"1927 Fulton St. Brooklyn, NY 11233",2012,DOHMH,6400.0
184,Sedgwick Development Residents Council,"140 West 174th Street, #1H Bronx, NY 10453",2011,DYCD,3500.0
185,"No Doubt, Inc.","205-02 Jamaica Avenue Hollis, NY 11423",2011,DYCD,12000.0
186,"No Doubt, Inc.","209-29 110th Ave Queens Village, NY 11429-1819 ",2012,DYCD,3500.0
187,"Books Before Ball, Inc.","2675 West 36th Street Brooklyn, NY 11224",2011,DYCD,7500.0
188,"Books Before Ball, Inc.","135 West 50th Street New York, NY 10020",2012,DYCD,15000.0
189,"Girls for Gender Equity, Inc.","1360 Fulton Street, Suite 314 Brooklyn, NY 11216",2011,DYCD,5000.0
190,"Girls for Gender Equity, Inc.","30 Third Avenue - Suite 104 Brooklyn, NY 11217",2012,DYCD,8000.0
191,"East 34th Street Block Association/2002, Inc.  ","3402 Farragut Road Brooklyn, NY 11210",2011,DPR,3500.0
192,Davis Memorial Fund Inc  Parnassa Initiative,"co Read Properties Brooklyn, NY 11204",2012,DYCD,15000.0
193,"Davis Memorial Fund, Inc. d/b/a Emergency Parnassa Initiative","co Read Properties Brooklyn, NY 11204",2012,DSBS,20000.0
194,"Davis Memorial Fund, Inc. d/b/a Emergency Parnassa Initiative","4706 18th Avenue Brooklyn, NY 11204",2011,DSBS,10000.0
195,Downtown Bronx Economic Development Corporation ,"478 Austin Place, Suite 3 Bronx, NY 10455",2011,DYCD,5000.0
196,Downtown Bronx Economic Development Corporation ,"478 Austin Place, Suite 3 Bronx, NY 10455",2011,DYCD,10000.0
197,Downtown Bronx Economic Development Corporation ,"478 Austin Place Bronx, NY 10455",2012,DYCD,5000.0
198,Downtown Bronx Economic Development Corporation ,"478 Austin Place Bronx, NY 10455",2012,DYCD,15714.0
199,"Transgender Legal Defense & Education Fund, Inc.","151 West 19th Street, Suite 1103 New York, NY 10011",2011,DYCD,5000.0
200,"Transgender Legal Defense & Education Fund, Inc.","151 West 19th Street New York, NY 10011",2012,DYCD,5000.0
201,"Fourth Arts Block, Inc.","61 East 4th Street New York, NY 10003",2011,DCA,3000.0
202,"Fourth Arts Block, Inc.","61 East 4th Street New York, NY 10003",2012,DCA,3000.0
203,"Friends of Brooklyn Community Board 6, Inc.","250 Baltic Street Brooklyn, NY 11201",2011,DYCD,3500.0
204,"Friends of Brooklyn Community Board 6, Inc.","250 Baltic Street Brooklyn, NY 11201-6401",2012,DYCD,3500.0
205,"Friends of Brooklyn Community Board 6, Inc.","250 Baltic Street Brooklyn, NY 11201-6401",2012,DYCD,3500.0
206,"   71st Precinct Community Council, Inc.","421 Empire Boulevard Brooklyn, NY 11225-3217",2012,DFTA,5000.0
207," 71st Precinct Community Council, Inc.","421 Empire Boulevard Brooklyn, NY 11225",2011,DFTA,3000.0
208," 71st Precinct Community Council, Inc.","421 Empire Boulevard Brooklyn, NY 11225",2011,DFTA,5000.0
209," 71st Precinct Community Council, Inc.","400 Empire Boulevard Brooklyn, NY 11225",2011,DYCD,10000.0
210," 71st Precinct Community Council, Inc.","400 Empire Boulevard Brooklyn, NY 11225",2011,DFTA,35000.0
211,"   71st Precinct Community Council, Inc.","421 Empire Boulevard Brooklyn, NY 11225-3217",2012,DYCD,5000.0
212,"   71st Precinct Community Council, Inc.","421 Empire Boulevard Brooklyn, NY 11225",2012,DYCD,20000.0
213,"   71st Precinct Community Council, Inc.","421 Empire Boulevard Brooklyn, NY 11225-3217",2012,DYCD,10000.0
214,"African Hope Committee, Inc.","441 Convent Avenue, Suite 4D New York, NY 10031",2011,DYCD,3500.0
215,"African Hope Committee, Inc.","441 Convent Avenue, Suite 4D New York, NY 10031",2011,DYCD,6000.0
216,"African Hope Committee, Inc.","441 Convent Ave New York, NY 10031",2012,DYCD,3500.0
217,Stuyvesant Gardens I Tenant Association,"214 Stuyvesant Avenue Brooklyn, NY 11221",2011,MISC,1000.0
218,Stuyvesant Gardens I Tenant Association,"214 STUYVESANT AVENUE BROOKLYN, NY 11221",2012,NYCHA,1000.0
219,"Fund for Public Health in New York, Inc.","291 Broadway, 17th Floor New York, NY 10007",2011,DOHMH,226730.0
220,"Fund for Public Health in New York, Inc.","291 Broadway, 17th Floor New York, NY 10007",2011,DOHMH,50000.0
221,Ohr Halimud - The Multi-Sensory Learning Center,"1681 42nd Street Brooklyn, NY 11218",2011,DYCD,3500.0
222,Ohr Halimud - The Multi-Sensory Learning Center,"1681 42nd Street Brooklyn, NY 11204",2011,DYCD,9000.0
223,Ohr Halimud - The Multi-Sensory Learning Center,"1681 42nd Street Brooklyn, NY 11204-1027",2012,DYCD,5000.0
224,Ohr Halimud - The Multi-Sensory Learning Center,"1681 42nd Street Brooklyn, NY 11204-1027",2012,DYCD,12000.0
225,Big Apple Seeds,"527 East 12th Street, #E6 New York, NY 10009",2011,DYCD,3500.0
226,Big Apple Seeds,"527 East 12th Street E6 New York, NY 10009",2012,DYCD,4000.0
227,Cooper Park Senior Citizens Advisory Committee,"292 Frost Street Brooklyn, NY 11222",2011,DFTA,15500.0
228,"Harmony Program, City University of New York","535 East 80th St New York, NY 10075",2012,CUNY,3500.0
229,"Ridgewood Older Adult Center and Services, Inc.","59-14 70th Avenue Ridgewood, NY 11385",2010,DYCD,5000.0
230,"Ridgewood Older Adult Center and Services, Inc.","59-14 70th Avenue Ridgewood, NY 11385",2011,DFTA,12500.0
231,"Ridgewood Older Adult Center and Services, Inc.","59-14 70th Avenue Ridgewood, NY 11385",2011,DFTA,9000.0
232,"Ridgewood Older Adult Center and Services, Inc.","59-14 70th Avenue Ridgewood, NY 11385",2011,DYCD,12000.0
233,"Ridgewood Older Adult Center and Services, Inc.","59-14 70th Avenue Ridgewood, NY 11385",2011,DYCD,5000.0
234,"Ridgewood Older Adult Center and Services, Inc.","59-14 70th Avenue Ridgewood, NY 11385",2011,DFTA,4000.0
235,"Ridgewood Older Adult Center and Services, Inc.","59-14 70th Avenue Ridgewood, NY 11385",2011,DFTA,3000.0
236,"Ridgewood Older Adult Center and Services, Inc.","59-14 70th Avenue Ridgewood, NY 11385",2011,DFTA,25000.0
237,"Ridgewood Older Adult Center and Services, Inc.","59-14 70th avenue ridgewood, NY 11385",2012,DFTA,20000.0
238,"Ridgewood Older Adult Center and Services, Inc.","59-14 70th avenue ridgewood, NY 11385",2012,DFTA,25000.0
239,"Ridgewood Older Adult Center and Services, Inc.","59-14 70th avenue ridgewood, NY 11385 ",2012,DFTA,10000.0
240,"Ridgewood Older Adult Center and Services, Inc.","59-14 70th Avenue Ridgewood, NY 11385",2012,DYCD,5000.0
241,"Ridgewood Older Adult Center and Services, Inc.","59-14 70th Avenue Ridgewood, NY 11385",2012,DFTA,60000.0
242,"Citywide Youth Opera, Inc.","P.O. Box 3647 Grand Central Station New York, NY 10163",2011,DCA,3000.0
243,Administration for ChildrenÌ¢åÛåªs Services [Bethel Mission Ì¢åÛåÒ Sheldon Weaver Day Care Center],,2012,ACS,1367264.0
244,Bethel Emanuel Temple Inc,"106-23 154th Street Jamaica, NY 11433",2012,DFTA,5000.0
245,"Morris Heights Health Center, Inc.","85 West Burnside Avenue Bronx, NY 10453",2011,DOHMH,22320.42
246,"Morris Heights Health Center, Inc.","85 West Burnside Avenue Bronx, NY 10453",2011,DOHMH,40000.0
247,Morris Heights Health Center,"85 West Burnside Avenue Bronx, NY 10453",2012,DOHMH,22320.0
248,Morris Heights Health Center,"85 West Burnside Avenue Bronx, NY 10453",2013,DOHMH,22320.0
249,St. Matthew's AME Church,"1788 Sedgwick Avenue Bronx, NY 10453",2011,DOHMH,6400.0
250,"Joseph P. Addabbo Family Health Center, Inc.","6200 Beach Channel Drive Arverne, NY 11691",2011,DOHMH,8000.0
251,"Joseph P. Addabbo Family Health Center, Inc.","6200 Beach Channel Drive Arverne, NY 11691",2011,DOHMH,24796.08
252,Schuyler Hill Civic Association,"3087 Mitchell Place Bronx, NY 10465",2011,DYCD,5000.0
253,Schuyler Hill Civic Association,"3087 Mictchell Place Bronx, NY 10465",2012,DFTA,5000.0
254,"Junior Tennis Clinic, Inc.","185 Hall Street, Suite 815 Brooklyn, NY 11205",2011,DYCD,10000.0
