id,brand,title,description,price,priceCurrency
74646858,,SanDisk Extreme 32GB Micro SDHC 100MB/S Memory Card and Adaptor,"The SanDisk Extreme 32GB Micro SDHC UHS-I V30 U3 100MB/S Memory Card is ideal for smartphones, tablets or camera using the included SD Adaptor. Capture fast action and record Full HD or 4K Ultra HD-ready video. This SanDisk Extreme card has been made with durability in challenging conditions; it is waterproof, shockproof, x-ray proof and temperature proof.Supplied with a SD card adapter, allowing you to access and capture your data on the card with any device that has an SD card slot. So you will be able to use your SanDisk memory card with SD enabled cameras, video recording devices, camcorders, laptops and tablets.Supplied with a lifetime limited warranty. Also includes RescuePro Deluxe data recovery software downloadable offer to bring accidentally deleted images back.",23.99,GBP
42522284,,Storage Kingston Micro Duo USB3.0 16GB,System Specific,7.50,EUR
79821099,Maxxis,"Maxxis Maxxis, High Roller II, Tire, 27.5''x2.30, Folding, Tubeless Ready, Dual, EXO, 60TPI, Black",,88.00,CAD
27484833,,SWITCH CISCO WS-C3560CX-12PC-S,,4112.12,PLN
73230169,,"PRIME B365M-A, Intel B365 Chipset, LGA 1151, HDMI, microATX Motherboard","ASUS PRIME B365M-A.ASUS Prime 300 Series motherboards provide the solid foundation needed for your first build, plus flexibility to grow with your ambitions. We've melded all the good stuff that's packed into the latest processors with essential ASUS design and engineering, so you benefit from industry-leading technologies — including automated system tuning, comprehensive cooling controls, and immersive onboard audio. When you build with an ASUS Prime 300 Series motherboard, you build smart, easy and affordably.",95.43,USD
88048328,,UniFi Protect G4-PRO Camera,"Super sharp 4K camera with 3x optical zoom and high-powered infrared LEDs for night vision. IP67 rated. Our most powerful camera yet.Capture every detail with the 4K resolution G4-PRO camera. The G4-PRO is our most powerful camera yet, with a large 1/2\"" image sensor, 3X powered optical zoom lens, and integrated high-power infrared LEDs for night vision. The adjustable base can be mounted to a flat surface or a pole with the included mounting hardware.Features:4K Video Powered 3X optical zoom lens Integrated 3X powered zoom lens ( Focal length 4.1mm ~ 12.3mm) H.264 triple-stream encoding FOV (H: 110˚~35 ˚ V:60 ˚ ~20˚) 3840x2160, 1/2\"", 8MP sensor IP67 support wide angle IR LED for night vision","379,00",EUR
95289358,,Tag Heuer Aquaracer Quartz Alarm on bracelet.,,1450,GBP
31803140,,Corsair Vengeance LPX 16GB DDR4 2400MHz(CMK16GX4M1A2400C14),,23375,HUF
67439501,,JABRA Evolve 20 UC USB - Stereo,"The Jabra EVOLVE 20 UC Stereo is a professional headset specifically designed to improve conversations.Its state-of-the-art, noise-canceling microphone eliminates noise, so you can hear more and be better focused on the conversation.",759.00,ZAR
37268276,,Corsair Vengeance LPX DDR4 2666MHz 32GB,"2x16GB DDR4 2666MHz (PC4-21300) CL16, XMP 2.0, svart",1290.00,SEK
6750484,Apple,Apple Lightning to Digital AV Adapter,"Use the Lightning Digital AV Adapter with your iPhone, iPad, or iPod with Lightning connector. The Lightning Digital AV Adapter supports mirroring of what is displayed on your device screen — including apps, presentations, websites, slideshows, and more",49.00,USD
93018058,,Swiss Military Hanowa 06-6278.04.001.07 Navalus Damen 36mm 10ATM,,"598,00 лв",BGN
31886989,ASUS,Asus ROG Strix X570-F Gaming ATX - motherboard,"Buy Asus ROG Strix X570-F Gaming ATX - motherboard at multitronic.fi, as well as find price, description and specifications online.",,
82273873,,"GARMIN Vivoactive 3 Gunmetal - PRMG GRADING OOCN - SCONTO 20,00%",Sportwatch,143.99,EUR
23384019,,Blackmagic ATEM Production Studio 4K,"DESCRIPTIONATEM Production Studio4KThe World's Most AdvancedLive Productionswitchers!Create stunning multi camera live production with the world’s most advanced production switchers! ATEM switches between SD, HD or Ultra HD video standards so you can form exciting live production with a wide range of video sources such as cameras, disk recorders and slide shows or animation from computers. You get powerful features such as chroma key, creative transitions, media pool, downstream keyers, audio mixer, multi view and more! The more advanced models include features such as up to 20 SDI inputs, SuperSource multi-layer engine, full motion DVE, stinger transitions, larger media pool with full motion clips and up to an incredible 6 auxiliaryoutputs!New ATEM 4 M/EBroadcast Studio4KGet the extreme power of a4 M/E 20input 12G-SDI switchercombined with 16 ATEM AdvancedChroma Keyers for high frame rate UltraHDGet one of the world’s most compact and advanced switchers with the new ATEM 4 M/E Broadcast Studio 4K. You get an incredibly high performance live production switcher designed to work with the latest formats and high frame rates, all the way up to Ultra HD 2160p59.94! You get 16 next generation ATEM Advanced Chroma Keyers with 4 per M/E, perfect for advanced work and virtual sets. As the most advanced ATEM switcher, this model also includes the latest technology and features such as 2 Ultra HD multi viewers, full 2D DVE, built in SuperSource compositing engine with 4 picture in picture DVEs, full re-synchronization on each 12G-SDI input and much more! The multi rate 12G-SDI connections automatically switch between all HD and Ultra HD formats up to 2160p59.94 with a single BNC cable! Even if you're not working in Ultra HD now, the ATEM 4 M/E Broadcast Studio 4K has all the power and features for the highest end live production work, while being Ultra HD ready the instant you needit!New ATEM 1 M/E AdvancedPanelCombine the elegance of moderndesign with the power of broadcastproductionThe new ATEM 1M/E Advanced Panel is an elegantly designed professional hardware control panel for allATEM switchers.It combines modern design with thelatest broadcasttechnology for faster workflows.The new designfeatures a built in LCD and high quality curved buttons that help reduce incorrect key presses.The buttonsalso have color backlighting to help you quickly recognize important keys. You also get a professional joystick for DVE and camera adjustments, smooth weighted t‑bar fader and much more. The buttons feature dynamic displays that allow full customization of the labels as well as custom colors. The shift buttons allow you to double up the number of inputs by selecting a second set of shifted source buttons so you can control up to 20 inputs. The compact size and durable design of the ATEM 1M/E Advanced Panel fits in a standard equipment rack, making it perfect for shelf mounting in broadcast trucks, mobile racks and fly awaykits.Advanced Live ProductionCreative features with advancedtechnologyTake your live production beyond broadcast quality! ATEM live production switchers have all the features you need for the most innovative live concerts, sporting events, theater productions, conferences and more! When you're doing live events with super large high resolution screens, then simply switch your ATEM live production switcher to Ultra HD for incredible quality. Many live events now use massive high resolution LED screens and projectors and now you can drive those screens in fullresolution!Innovative DesignElegant machined metaldesign in a super compactsize!ATEM live production switchers feature an elegant machined aluminum front panel with dedicated buttons to let you switch auxiliary outputs. You can use the built in video screen to monitor auxiliary outputs or as technical monitoring to help during set up! You get the highest quality video and audio connections that switch virtually all SD, 720p HD, 1080i HD, 1080p HD and Ultra HD formats, plus built in multi voltage power supplies so you can take your switcher anywhere in theworld!Powerful Software and HardwareControlGet innovative softwarecontrol or choose a hardware panelATEM live production switchers have the widest range of control options! You get full switcher control from any laptop or desktop computer with the included ATEM software control panel for both Mac and Windows. For demanding live production environments you can add a hardware based panel such as the new ATEM 1M/E Advanced Panel or the ATEM 2M/E Broadcast Panel, which feature the highest quality buttons, knobs and faders for even faster switching! You also get an SDK for custom control. Only ATEM gives you such a wide range of controloptions!Highest QualityConnectionsConnect to SDI and HDMIequipment in SD, HD andUltraHD!1.Built in power supply compatible with 110V to 240Vsources.2.6G-SDI inputs for cameras or decks in SD, HD and UltraHD.3.3x 6G-SDI Auxiliary outputs for clean feeds andmonitoring.4.HDMI and 6G-SDI program outputs and down converted HDoutput.5.Connect XLR and HiFi audio equipment to built in audiomixer.InputsATEM switchers include advanced 6G-SDI and HDMI inputs that are SD, HD or Ultra HD switchable up to 2160p30 while the advanced ATEM Broadcast Studio 4K model features 20 12G-SDI inputs for working in HD and Ultra HD up to 2160p60. Every input supports embedded audio mixing and features a frame resynchronizer so you can use sources without genlock such as laptop computers for live PowerPoint™ presentations! You also get 2 balanced XLR audio inputs for connecting professional mixers and a HiFi audio input for consumer equipment like aniPod®.OutputsGet all the outputs you need to record your video master and to broadcast your program to the audience at the event! ATEM includes program and down converted program outputs plus auxiliary outputs allowing clean feeds, perfect for connecting to giant outdoor LED screens, projectors, disk recorders, monitors and broadcast decks! The multi view outputs are 1080i HD so you can use any TV or monitor. You also get a balanced XLR output of your audio mix, which is also embedded into all videooutputs.Multi View MonitoringUse a single screen for all yourmonitoring!ATEM's built in multi view lets you monitor the switcher’s video inputs on a single SDI monitor or regular HDMI TV! Multi view outputs in regular 1080i HD, so even if your broadcast is in SD or Ultra HD you can still use a standard TV for monitoring! You can customize the multi view layout and also add custom labels. Multi view makes it easy to watch your program, preview, and live sources all simultaneously on a single monitor and you can even choose from 4 different screenlayouts!Creative TransitionsGet dozens of excitingeffects andtransitions!ATEM includes a huge range of real time high quality transitions that are available in all SD, HD or Ultra HD resolutions! Use mixes, dips, wipes and more for amazing broadcast quality live switching! Every transition is instantly available and you get full control of the transition type, pattern, length and other attributes. Create a customized ‘on air’ looks using the large choice of wipe patterns. The ATEM 1M/E and 2M/E Production Studio 4K models also include animated stingers and DVEtransitions!Digital Video EffectsPosition, resize, rotateand scale in realtime!The advanced ATEM1M/E and 2M/E Production Studio 4K, and 4 M/E Broadcast Studio 4K models include a powerful digital video effects processor. Use this amazing high quality DVE to position, resize, rotate and scale live video all in real time. Create professional picture-in-picture effects with customizable 3D borders, shadows and lighting. Add dynamic DVE transitions to your production with squeeze, push, swoosh and spin effects that displace your live video revealing the next source. You can even use the DVE for graphic wipetransitions!SuperSourceAdd multi box compositions quickly and easily with ATEM SuperSource! Available on the ATEM 2M/E Production Studio 4K and ATEM 4M/E Broadcast Studio 4K, you get a completely separate 5 layer switcher with the power of 4 picture in picture DVEs and 4 keyers that you can assign to any ATEM video input! Imagine using SuperSource for multi camera interviews or picture in picture production while leaving all your M/Es, keyers and DVE completely free for other tasks. SuperSource compositions can also be quickly saved and recalled in aninstant!Dual Media PlayersLarge graphics memory!ATEM production switchers include media pool memory that lets you download still frames and graphics for keying using the two built in media players. All popular image formats are supported, or you can direct download from Photoshop CC with the included plug-in. ATEM Production Studio 4K models support up to 32 Ultra HD RGBA still frame graphics, while ATEM 4 M/E Broadcast Studio 4K supports 64 Ultra HD RGBA still frame graphics and 180 frames of real time Ultra HD video or 720 frames of real time 1080 HDvideo.Advanced Chroma KeyerIntroducing the newATEM Advanced ChromaKeyer!All ATEM switchers feature built in chroma, luminance, linear and pattern keyers, however the new advanced ATEM4M/E Broadcast Studio 4K model now features a new next generation advanced chroma keyer that lets you pull incredibly clean keys for truly professional, broadcast quality live compositing. The advanced keyer features adjustable on-screen controls for selecting and sampling a region of color from the image. This new keyer also features foreground, background and edge adjustment controls, and chroma correction tools for spill and flare suppression so you can fine tune the key. Best of all, on the new ATEM4M/E Broadcast Studio 4K model you now get 4 advanced chroma keyers on each of the 4 mix effects rows so you can create massive multi layer effects! Plus all ATEM switcher models included an extra 2 independent downstream keyers for logos, titles and other ‘on air’ graphics. That’s a massive number of keyers, all built in asstandard!HyperDeck ControlUse pre-recordedHyperDeck clips in liveprograms!ATEM Switchers work seamlessly with Blackmagic HyperDeck SSD recorders. You can connect up to 4 HyperDecks as sources, just like cameras, to playback pre-recorded clips during live program production! You can see the clips on each HyperDeck, select any clip, cue it, pre-roll, and play it back at any time. You can even create macros to record from an incoming camera source and play it back in slow motion! That’s perfect for adding pre-recorded spots or promos, credit rolls, or even slow motion instant re-plays to your live programproduction!Power MacrosThe fastest way to set up andautomatically triggerevents!To automate complex sequences of precisely timed actions on your ATEM switcher, you can now create powerful shortcuts called macros. Record a sequence of transitions between video sources, including key effects, audio mixer adjustments, camera control settings and more using the ATEM software or hardware control panel. Macros are saved as XML files that can even be edited with a standard text editor so you can combine them together to build sophisticated sequences that would be impossible to execute manually during a live production! That means you can create unique looks for your programs that can be recalled instantly, copied between switchers and used over and overagain!Amazing Ultra HDMassive 3840 x 2160 videoresolution!ATEM live production switchers are the world’s first Ultra HD live production switchers! Ultra HD operates at 4 times the resolution of 1080 HD video with a massive 3840 x 2160 frame size! The entire switcher can be set to Ultra HD and all media players, downstream keyers, upstream keyers, transitions, DVE and color generators operate in native Ultra HD. Even if you’re working in SD or HD now, your ATEM live production switcher is always ready for Ultra HD whenever you needit!6G-SDI FlexibilityThe flexibility to workin SD, HD or UltraHDAll switchers support 6G-SDI so you can work in the highest quality Ultra HD, and because the SDI connections are regular BNC connectors, you can also select the switcher to any format and simply plug in your SD or HD equipment. 6G-SDI supports any SDI format from SD, HD up to Ultra HD 2160p30. That means 6G-SDI gives you compatibility to work in any format, plus you can switch to Ultra HD for incredible quality that’s 4 times the resolution of HD! Work in SD, 720p, 1080i or 1080p up to 60fps as well as Ultra HD up to 30 fps all on the oneswitcher!12G‑SDI PerformanceWhen you need high framerate, fast actionproduction!The incredibly advanced ATEM4M/E Broadcast Studio 4K model goes beyond the 6G-SDI of other ATEM switchers because it includes the latest 12G-SDI for twice the frame rate of the other models, up to an incredible 2160p60. That’s frame rates of up to 60 fps in Ultra HD! 12G-SDI also supports all regular 720p, 1080i and 1080p HD video formats, which means you have the switcher you can use today for regular HD work, while being ready for Ultra HD when you need! Only 12G-SDI gives you high frame rate Ultra HD via a single BNC connection that also plugs into all your regular HDequipment!Remote Camera ControlFull camera controlfrom yourswitcher!Get full control of your cameras right from the ATEM software control! The new Blackmagic URSA Broadcast and Blackmagic Studio Cameras can be direct controlled via the SDI program feed back to the camera, so you can control their built in camera settings and full color corrector, all remotely from the ATEM software control panel! When it comes to control you get two options for camera control, a CCU layout for traditional camera control style, or a color corrector interface which is almost identical to the DaVinci Resolve’s primary color corrector so you can use all your creative color correction skills from DaVinci Resolve for adding incredible styles and innovative looks to liveproduction!Professional Audio MixerLive mix multi channel audiofromyourcameras in real time!All ATEM switchers feature a powerful built in multi channel audio mixer! You can mix your camera audio and other video sources from both HDMI and SDI inputs, as well as external audio from the analog XLR and HiFi audio inputs. You can use the ATEM audio mixer for direct input mixing or use audio follow video mixing where the audio automatically crossfades when switching from one input to another. The analog audio inputs are great for microphones, audio mixers, music players andmore!Independent AuxOutputFeed big screens onstage!ATEM switchers have independent auxiliary outputs that are perfect for feeding big video screens on stage or can also be used to send \""clean feeds\"" without on air graphics to recorders for program mastering. The front panel buttons and screen make it easy to select sources such that you want to send to the aux output. Auxiliary outputs can be selected to any video input, media players, the preview bus, test signals and more! Aux outputs are fantastic for tech monitoring with SmartScopeDuo4K.Software Control PanelSwitcher control on Mac orPC!Included free with every ATEM live production switcher is the beautifully designed ATEM software control panel for both Mac and Windows. With a full visual switcher control panel and parameter palettes for quick switcher adjustments, you can load graphics into the media pool, adjust the audio mixer, control and balance cameras, update switcher settings and more! For the ultimate in portability you can use the ATEM software on a laptop, so you can work easily in small spaces with full control of all the switcher’sfeatures!Free ATEM Software Control Panel for Mac andWindows.Professional Broadcast PanelsAdd a hardware panelfor fast professionalswitching!When you want fast professional control of your switcher during extremely complex live production, you can add an optional dedicated hardware broadcast panel to your switcher. Choose the super compact ATEM 1 M/E Advanced Panel, or get the ultimate control with the ATEM2M/E Broadcast Panel! Both panels feature the highest quality buttons, knobs and controls for the most demanding 24/7 live production environment, giving you precise hands on control of all switcherfunctions.ATEM 2M/E BroadcastPanelThe 2M/E panel supports two independent 1M/E switchers, so you can double your switcher power by simply connecting two switchers to build amassive 2M/Eswitcher!ATEM 1M/E AdvancedPanelGet full control of your switcher using this compact and stylish broadcast gradepanel.Extreme ReliabilityProfessional hardware basedswitcherfor incrediblereliabilityBroadcast and live production situations demand mission critical reliability! That's why ATEM Switchers use an internal aviation quality operating system! Cheap computer based switchers interrupt the video if the computer crashes, while ATEM doesn't have this problem because the computer is only the control panel! With ATEM you still have video output so your live event is protected from any possible computer failure. Simply use other control panels or restart your computer without interruption to theprogram!ATEM Production Studio 4KTechnical SpecificationsATEM Production Studio 4K lets you connect up to 8 SD, HD or Ultra HD 4K video cameras, disk recorders and computers to do true broadcast quality work. You get all the features you expect from a professional switcher including chroma key, transitions, media pool, downstream keyers, audio mixer, multi view and the world's first 6G-SDI and HDMI 4K video connections.ConnectionsTotal Video Inputs8Total Video Outputs6SDI Rates270Mb, 1.5G, 3G, 6G.Total Audio Inputs2 x XLR. 2 x RCA.Total Audio Outputs2 x XLR Program.Timecode ConnectionNoneSDI Video Inputs4 x 10-bit SD/HD/Ultra HD 4K switchable. 2 channel embeddedaudio.HDMI Video Inputs4 x HDMI type A, 10-bit SD/HD/Ultra HD 4K switchable. 2 channel embeddedaudio.SDI Audio Outputs2 channel embedded into SDI output.Reference InputTri-Sync or Black Burst.Video Input Re-SyncOn all 8 inputs.SDI Program Outputs1 x 10-bit SD/HD/Ultra HD 4Kswitchable.HDMI Program Outputs1 x HDMI type A, 10-bit SD/HD/Ultra HD 4K switchable.Down Converted SDI ProgramOutputs1 x 10-bit HD (Ultra HD 4K to HD).SDI Aux. Output1Total Multi Views1SDI Multi View Outputs1HDMI Multi View Outputs1Control Panel ConnectionEthernet supports 10/100/1000 BaseT. Allows direct connection between panel and chassis, or via network.StandardsSD Video Standards525i59.94 NTSC, 625i50 PALHD Video Standards720p50, 720p59.941080p23.98, 1080p24, 1080p25, 1080p29.97, 1080p50, 1080p59.941080i50, 1080i59.94Ultra HD Video Standards2160p23.98, 2160p24, 2160p25, 2160p29.97SDI ComplianceSMPTE 259M, SMPTE 292M, SMPTE 424M.Video Sampling4:2:2Color Precision10-bitColor SpaceREC 601,REC 709HDMI Input Resolutions forComputers720 x 480i 59.97Hz,720 x 576i 50Hz,1280 x 720 59.94Hz,1280 x 720 50Hzand1920 x 1080 59.94Hz,1920 x 1080 50Hz,3840 x 2160 23.98Hz,3840 x 2160 24Hz,3840 x 2160 25Hz,3840 x 2160 29.97Hz.Colorspace ConversionHardware based real time.Processing Delay1 Line.Audio Mixer10 input x 2 channel mixer. Selectable On/Off/Audio-Follow-Video. Level and Peak metering. Master gain control. Analog outputs may be used for separate monitoring.4K to HD Down ConversionYes, program x 1.Product SpecificsUpstream Keyers1 with Chroma/Linear/Luma key.Downstream Keyers2Chroma Keyers1Talkback SupportNoneMix Minus SupportNoneLinear/Luma Keyers3Transition Keyer (Stinger/DVE)NoneTotal Number of Layers4Pattern Generators3Color Generators2DVE with 3D Borders & Drop ShadowNoneDisplay interfaceMinimum monitor resolution of1366 x 768.Number of Windows1 x 10Routable Windows8TallyRed for program and green for preview indication.Windows Source LabelsYesControl PanelSoftware or optional hardware panel.Media PlayerMedia Players2Media Pool Still Image Capacity20 with fill and key.Media Pool Clip CapacityNoneMedia Player Clip Length in 720 HDNoneMedia Player Clip Length in 1080 HDNoneMedia Player Clip Length in Ultra HDNoneMedia Pool Still Image FormatPNG, TGA, BMP, GIF, JPEG and TIFF.Media Pool Video File FormatNone.Media Pool Audio File FormatNone.ChannelsFill and key for each Media Player.Multi View MonitoringMulti View Monitoring1 x 10 Views.Multi View Video StandardHD.DisplayInterfaceMinimum monitor resolution of1366 x 768.Front PanelBuilt in LCD monitor for video and 42 LED buttons for Aux switching.SoftwareControl Panel IncludedATEM Software Control Panel included free for Mac 10.10 Yosemite, Mac 10.11 El Capitan or later and Windows 8.1 64-bit or Windows 10 64-bit.Tally OutputAdded via Ethernet connection to Blackmagic Design GPI and Tally Interface product. (Not included.)Software UpdatesUsing USB connection directly connected to Mac or Windows computers. Includes ATEM SetupUtilityConfigurationSet via ATEM Software Control Panel, excluding ATEM chassis IP address which is set via the ATEM Setup Utility connected via USB to chassis.Power RequirementsPower Supply1 x Internal 100 - 240V AC.Power Usage60WPhysical SpecificationsEnvironmental SpecificationsOperating Temperature0° to 40° C (32° to 104° F)Storage Temperature-20° to 60° C (-4° to 140° F)Relative Humidity0% to 95% non-condensingWhat's IncludedATEM Production Studio 4KSD card with software and manualWarranty12 Month Limited Manufacturer's Warranty.Repair policyWarranty details can be found in the ATEM Switchers Operation Manual in the support page at www.blackmagicdesign.com",1.629E5,INR
55597279,,Epson Replacement Maintenance Tank for P5070,,29.95,AUD
32611065,,Lexmark X945X2KG Black Toner Cartridge Genuine,"Lexmark X945X2KG Black Extra High Yield Toner Cartridge - 36,000 pages.",282.25,AUD
79464526,,Jacke New Era nfl new england patriots bomber,,1.199E2,EUR
41254422,,TONER CANON718 YELLOW ORIGINAL2900 K,,,
48758733,,Processador Intel Core i7 8700K LGA1151,BrandIntelProcessors TypeDesktopSeriesCore i7 8th GenNameIntel Core i7-8700KModelBX80684I78700KDetailsCPU Socket TypeLGA 1151 (300 Series)Core NameCoffee Lake# of Cores6-Core# of Threads12Operating Frequency3.7 GHzMax Turbo Frequency4.7 GHzL3 Cache12MBManufacturing Tech14nm64-Bit SupportYesHyper-Threading SupportYesMemory TypesDDR4-2666Memory Channel2Virtualization Technology SupportYesIntegrated GraphicsIntel UHD Graphics 630Graphics Base Frequency350 MHzGraphics Max Dynamic Frequency1.2 GHzPCI Express Revision3.0Max Number of PCI Express Lanes16Thermal Design Power95WCooling DeviceCooling device not included - Processor Only,2522.99,BRL
5244749,,Sapca New Era Clean Trucker 2 NY Yankees Cap,,100,RON
25187069,Maxxis,"Maxxis Aggressor EXO/TR Tire - 29in Dual Compound/EXO/TR, 29x2.3","Get ready to shred singletrack and bomb gnarly descents with the Maxxis Aggressor EXO/TR Tire - 29in. We can't promise it'll make you a better rider, but its rugged, versatile construction grips hard so you can focus on the line instead of scrubbing so much speed. The tubeless-ready Aggressor features a durable 60 TPI casing along with Maxxis' EXO sidewall protection to ward off flats. The knobby tread design features hard edges and reinforced side knobs to grip through loose, unpredictable stre",51.80,USD
25553062,RAM,"RAM Motorbike Stem 25mm (1\"") Ball (RAM-B-342U)","This part is designed to fit into the cylindrical bore wall of fork stems and will work with stems that measure from 12 - 18mm (.5\"" – .71\"") at the following intervals:MetricStandard12mm.5\""14mm.55\""16mm.63\""18mm.71\""",32.00,AUD
67391728,WD,"WD 1TB Blue 3D NAND 2.5\"" SATA SSD/Solid State Drive","1TB WD Blue 3D, 2.5\"" SSD, SATA III - 6Gb/s, 3D NAND, Read 560MB/s, Write 530MB/s, 95k/84k IOPS, Retail",91.99,GBP
21683323,,Montre Seiko SRPA21K1 Prospex Padi edition,,449,EUR
97374326,,Jabra Evolve 20 SE MS Headset mono,Application:PC / notebook|Headset type:Monaural|Fit:On-ear|Connection:Wired|Wireless:-|Connectors:USB|Noise-cancellation (NC):Yes|Active noise-cancellation (ANC):No|Optimised for:Skype for Business|Weight:0.143 kg|Product type:Headset|,39.27,EUR
97068882,Kingston,Kingston DataTraveler SE9 64GB USB 3.0 Flash Drive,Product InformationShow more;,12.97,GBP
80380534,,RAM Suction Cup Double Base without ball,FEATURES RAM Twist-Lock dual suction cup base is ideal for vehicle windshields and other nonporous surfaces Includes plate adapter featuring the universal AMPS hole pattern compatible with a variety of RAM bases Made of high-strength composite and powder-coated steel for durability and reliability in the most demanding environments Backed by a lifetime warranty,7900,ISK
37770802,,"Epson T596800 Matte Black 350ml Ultrachrome HDR Ink Cartridge for SP7900, 9900, 7890, 9890",,189.99,CAD
98227776,,PLACA BASE GIGABYTE X570 AORUS ELITE AM4 ATX 4XDDR4,,213.188556,EUR
2056076,Western Digital,Western Digital WD 1TB My Passport USB 3.0 Secure Portable Hard Drive (Black),My Passport 1TB External USB 3.0 Portable Hard Drive,69.00,USD
69900520,,TL-SG108PETP-Link TL-SG108PE 8-port Gigabit Desktop Switch Easy Smart with 4-Port PoE,,44083.00,XOF
3027312,,Manfrotto MVK500AM Video Kit with MVH500A Head MVT502AM Tripod and Bag,"28.35in Closed Length 11.02lbs Load Capacity 6.83lbs Weight 60.63inMax Height 26.57in Min. Height The Manfrotto MVK500AM lightweight fluid video system includes the MVH500A fluid video head (60mm half ball) and the MVT502AM twin leg video tripod, which is aluminum and features a middle spreader. The MVH500A video head is lightweight...",359.99,USD
5397066,,TRAVELER'S Notebook 012 Sketch Paper Refill // Regular,"This 024 Sketch Paper Refill is perfect for sketches and even water-colour! Since it is perforated, the paper can be torn out so you can send your drawings to someone as a postcard or on its own.Size: H110 x W210 mm // 40 pagesMade in Japan",2.2E1,MYR
74965852,,Epson - Print cartridge - XL size - 1 x magenta - 2000 pages,Epson - Print cartridge - XL size - 1 x magenta - 2000 pages,37.83,GBP
36903130,Brother,"Original Toner Brother TN-241M, ca. 1.400 S., magenta",,58.63,EUR
465873,,Canon PGI-570PGBK Pigment Black Ink Cartridge,Pigment Black Ink Tank,170.0,NOK
63744711,,Obudowa Corsair Carbide 275R White Tempered Glass (CC-9011133-WW),,339.00,PLN
42110526,,Canon CRG 718 Yellow toner,"2900 oldal, LBP7200Cdn, MF8330Cdn, MF8350Cdn",33440,HUF
94512766,Epson,Epson Cartouche d'encre C13T865140 (T8651),XXL ~10000 pages,136.24,EUR
93978472,,"CORSAIR CRYSTAL 570X RGB Mid-Tower Case, 3 RGB Fans, Tempered Glass - White| CC-9011110-WW","Clearly SuperiorWith immaculate tempered glass enclosing the entire chassis, every component of your build is on display for all to see, including three vivid SP120 RGB LED fans and a built-in LED controller.",775,AED
