id,brand,title,description,price,priceCurrency
71915407,,Kingston Canvas Select 32GB MicroSDHC card 80MB/s,"Bring your HD videos to life.Kingston’s Canvas Select™ microSD card is designed to be reliable, making it idealfor filming in HD and shooting high-resolution photos. You can be confidentthat your memories will be safe when documenting life’s adventures on yourAndroid™ smartphone or point-and-shoot camera. It’s available in multiplecapacities up to 256GB1, to provide plenty of space to capture an entire trip.Kingston Canvas cards are tested to be durable, so you can take them anywherewith the confidence that your photos, videos and other data will be protected,even in harsh or unstable conditions.2FEATURES/BENEFITSFull HD — The advanced UHS-I interface makes the card ideal for cinema-quality full HD (1080p) and 3D video.3Made for video — Capture your holiday, football game or night on the town using this Class 10 card.Get your memories faster — Transfer and edit your memories quicker thanks to the incredible 8x read speeds over traditional Class 10 SD cards.Durable — For your peace of mind, the card has been extensively tested and proven to be waterproof, temperature proof, shock and vibration proof and X-ray proof.2SPECIFICATIONSCapacities1: 16GB, 32GB, 64GB, 128GB, 256GBPerformance3: 80MB/s read and 10MB/s write, UHS-I Speed Class 1 (U1)Dimensions (microSD): 11mm x 15mm x 1mmDimensions (with SD adapter): 24mm x 32mm x 2.1mmFormat: FAT32 (SDHC 16GB-32GB), exFAT (SDXC 64GB-256GB)Operating temperatures: -25°C to 85°CStorage temperatures: -40°C to 85°C1 Some of the listed capacity on a Flash storage device is used for formatting and other functionsand is thus not available for data storage. As such, the actual available capacity for data storageis less than what is listed on the products.2 IEC/EN 60529 IPX7 certified for protection against continual water submersion for up to 30 min. and adepth of up to 1m. Withstands temperature range from -25 °C to 85 °C. Based on MIL-STD-883H,METHOD 2002.5 military standard test method. Protected against X-ray exposure based onISO7816-1 guidelines.3 Speed may vary due to host and device configuration.",4.90,GBP
9931532,Fujifilm,Fujifilm XF 80mm f/2.8 R LM OIS WR Macro Lens,"X-Mount Lens/APS-C Format120mm (35mm Equivalent)Aperture Range: f/2.8 to f/22One Aspherical ElementOne Super ED Element, Three ED ElementsLinear AF Motor, Floating Focus SystemMaximum Magnification: 1:1Minimum Focus Distance: 9.8\""Optical Image StabilizationWeather-Sealed Design, Fluorine Coating",20995,ZAR
88727182,,Corsair Carbide Spec-01 Red LED Mid-Tower Case,,,
21171296,,ASUS TUF X470-PLUS GAMING Moderkort - AMD X470 - AMD AM4 socket - DDR4 RAM - ATX,"Moderkort, ATX, AMD AM4 Socket, AMD X470, 2 x PCI-Express x16, Dual DDR4-2666 - 4 x DIMM slots, 6 x SATA-600 / 2 x M.2 NVMe (2242 / 2260 / 2280), USB 3.1 Type A & C, DVI-D / HDMI (stödjer 4K), Realtek 8111H Gigabit LAN, AMD Radeon Graphics stöd (CPU krävs), Realtek ALC887 HD Audio (8-kanaler), stödjer CrossFireX",1938.00,SEK
57619335,,ASUS GeForce GTX 1660 SUPER Phoenix OC,"Grafikkort, PCI-Express 3.0, 6GB GDDR6, 1530/1830MHz, Turing",1849.00,DKK
42514477,,TP-LINK T1700G-28TQ Switch Smart 24 x10/100/1000 4 x SFP+,,1076.582101,PLN
67394791,Epson,Epson 79XXL Black Extra High Yield Inkjet Cartridge C13T789140 / T7891 EP52923,,57.10,GBP
88458047,Shimano,Shimano Cleat Road Spd SL Red Fixed SM SH10,,39.95,AUD
46652889,,"RAM® Double Socket Arm (Long 6\"")","The RAM-B-201U-C consists of a long double socket arm that accommodates 1\"" B size ball bases, device holders, and adapters. With an overall length 6\"", this is the longest B size RAM® double socket arm size and adds more reach to your favorite mounting soluiton. The easy to adjust knob allows for near-infinite adjustability for your connected device.FEATURES- Provides an extended reach with an overall length of 6\"" and a socket-to-socket length of 5.31\""- Attaches to any B size RAM® ball component, including mounting bases and device holders; double ball and socket technology allows for near-infinite adjustability of your RAM® mounting system- Made of powder-coated, marine-grade aluminum for durability and reliability in the most demanding environments- Backed by a lifetime warranty",21.49,USD
48734649,Shimano,Shimano Pedal PD-RS500 SL Black,,99.99,AUD
35648851,Maxxis,"Maxxis Maxxis, Assegai, Tire, 27.5''x2.50, Folding, Tubeless Ready, 3C Maxx Terra, EXO+, Wide Trail, 120TPI, Black",,0.00,USD
95963025,Corsair,Corsair Crystal Series 680X RGB CC-9011169-WW White Steel / Plastic High Airflow Tempered Glass ATX Smart Case,Corsair Crystal Series 680X RGB CC-9011169-WW White Steel / Plastic High Airflow Tempered Glass ATX Smart Case,249.99,USD
25431697,Seiko,Seiko Prospex Diver Sumo Green Mens Stainless Steel SPB103J1,"There is nothing not to love about this diving watch with its masculine active appeal combined with what is a very classy all-round look.The precision finish of the watch ensures that the sporty lines and details are all the more crisp.Green is selected for the high-visibility dial and tachymeter bezel which is so plush and unusual, contrasting the cool stainless-steel faultlessly.Features an automatic movement, date display, glowing hands/ hour-markers and sapphire glass.",740.00,GBP
13253151,,Kingston SDCS Canvas Select Class10 microSD Memory Card - 64GB With Adapter,"Buy Kingston SDCS Canvas Select Class10 microSD Memory Card - 64GB With Adapter online at Rs. 2100 Buy complete range of MicroSD Cards on Vmart.pk, We Offer home delivery all over Pakistan.Kingston SDCS Canvas Select Class10 microSD Memory Card - 64GBWith AdapterCanvas SelectBring your HD videos to lifeKingston’s Canvas Select™ microSD card is designed to be reliable, making it ideal for filming in HD and shooting high-resolution photos on your Android™ smartphone. This card is tested to be durable2, so you can take it anywhere with the confidence that your photos, videos and other data will be protected. It’s available in multiple capacities up to 256GB3, to provide plenty of space to capture life’s adventures. Class 10 UHS-I speeds up to 80MB/s read Multiple capacities up to 256GB3 Built and tested to withstand harsh environmentsSpecificationsCapacities: 16GB, 32GB, 64GB, 128GB, 256GBPerformance: 80MB/s read and 10MB/s write, UHS-I Speed Class (U1) Dimensions (microSD): 11mm x 15mm x 1mm Dimensions (with SD adapter): 24mm x 32mm x 2.1mmFormat: FAT32 (SDHC 16GB-32GB), exFAT (SDXC 64GB-256GB) Operating Temperature: -25°C to 85°C Storage Temperatures: -40°C to 85°C Voltage: 3.3VOnline prices, specifications, description and images generally match actual, but may vary and are subject to change without notice. Vmart cannot be held liable for errors or omissions.Please verify the specifications at the time of purchase. No claim whatsoever would be accepted in case of specification error/mismatch, once the product is sold.",1990,PKR
62899929,,"Samsung 860 Pro series 1TB 2.5\"" SATA III V-NAND MLC",,10650,UAH
35610901,SHIMANO AMERICAN CORP.,"SHIMANO AMERICAN CORP. Shimano Deore XT CN-HG701-11 Chain - 11-Speed, 116 Links, Silver","Smooth and reliable shifting performance with asymmetric plate design for 11-speedRight and left sides are optimized for front and rear shifting respectivelySIL-TEC surface treatment provides less friction, less noise, better mud shedding, and better",39.99,USD
54553525,Seagate,"Seagate IronWolf PRO 8TB NAS 3.5\"" SATA HDD/Hard Drive","8TB Seagate IronWolf PRO ST8000NE001 NAS Hard Drive, 3.5\"" HDD, SATA III 6Gb/s, 7200rpm, 256MB Cache, OEM",223.49,GBP
66765162,,HD SSD 2.5 120 GB Crucial BX500,"Crucial BX500, 120 GB, 2.5, Serial ATA III, 540 MB/s,",21.55,
76795826,,Shimano 105 Carbon PD-R7000 Clipless Pedals,"Shimano 105 PD-R7000 clipless pedals - optimum power transmissionThe Shimano 105 PD-R7000 pedals have a carbon fibre reinforced plastic body that optimises stiffness and power transmission. The one-sided SPD-SL clipless mechanism can be combined with different cleats for different floats and has a release angle of 31°. The PD-R7000 pedal cuts a fine figure on the Road and in Cross Country use.SPECIFICATIONSApplication: Road, Cyclocross, GravelType: clipless pedalsPedal System: SPD-SLCleat Mount: 3-boltTechnical Information:Body Material: carbonAxle Material: steel (CrMo)Bearings: compactFloat: 6 ° (0 ° or 2 ° optional)Release Angle: 31 °Recommended Cleats: SM-SH10, SM-SH11, SM-SH12Features:- series: 105 R7000- carbon fibre reinforced plastic pedal body- wider contact area- optimum power transmission- one-sided binding mechanism- cartridge axle- sealed mechanism- release tension adjust- cover made of stainless steel- optional SM-PD65 reflectorsManufacturer Part Number:E-PDR7000Contents:- 1 pair of Shimano 105 PD-R7000 clipless pedals- 1 pair of Shimano SM-SH11 cleatsWeight: 265gFAQWhat system does the Shimano Clipless pedal use? The Shimano Clipless pedals use SPD SL for greater efficiency, stability and comfort.Can I adjust the cleat tension in the Shimano Clipless pedal?Yes, The Shimano Clipless pedal has customizable entry and release tension settings.What are the typical applications of the Shimano 105 R7000 Clipless pedal?The Shimano 105 R7000 Clipless pedal is suitable for On Road, Time Trail, Triathalon and Competition.","97,00",EUR
98441367,Benq,"BENQ LED Monitor Photographer 27\"" SW2700PT AHVA 2560x1440 Black","BENQ LED Monitor Photographer 27\"" SW2700PT AHVA 2560x1440 Black",687.89,EUR
47751906,,Corsair 8GB (1x8GB) 3000MHz CL16 Vengeance LPX Black,,159,PLN
18599997,,3M - PF230W9F Framed Privacy Filter for 23.0in Widescreen Monitor,3M PF230W9F Framed Privacy Filter for 23.0in Widescreen Monitor (PF230W9F) - Tyyppi: Muut tarvikkeet,203.68,EUR
21484120,Canon,Canon Canon EF-S 18-200mm f/3.5-5.6 IS,,699.99,USD
18500821,,Evans 20” EMAD Clear Bass Drum Head,"For over 60 years, Evans has been an innovator in drumhead manufacturing and design. As the creator of the first synthetic drumhead and other revolutionary products such as EMAD, Hydraulics, and the UV1 series, Evans drumheads are designed with the intent of solving problems for drummers. Regarded for high quality and consistency all Evans drumheads are made in the USA and feature Level 360 Technology.Evans™ EMAD™ series features a single ply of 10mil film providing an ideal balance of punch, power and low-end. The unparalleled industry standard Externally Mounted Adjustable Damping (EMAD) system allows the player to adjust attack and focus without removing the drumhead.",47.99,USD
94601010,,"Evans 20\"" EMAD Clear Bass Head","Evans EMAD Clear Bass Drum Heads are made of a single ply of 10-mil film that creates a pretty balanced punch with moderate attack and focused low-end frequencies. This head is fairly versatile, able to fit right in across a wide range of styles from jazz to metal. The Externally Mounted Adjustable Damping system - or EMAD - affects how much attack and resonance the head produces without having to remove the head itself. Think of it like a circular pillow.",45.99,USD
74877875,,SRAM PG-1130 11 Speed 11-36T Cassette,SRAM PG-1130 Cassette - 11 Speed 11-36t Silver. Affordable versions of SRAM's 11-speed cassette range. Shift performance is on par with higher end offerings with minimal additional weight.SRAM 10 and 11 speed cassettes with 11 tooth cogs have the smallest cog located behind the cassette in the packagingCompatible with all SRAM 11-speed chainsOptimized gear steps across entire range TECH SPECSCassette Cogs 11-12-13-15-17-19-22-25-28-32-36Cassette Body Type Shimano/SRAM 11 Speed RoadDrivetrain Speeds 11Weight 381keyword search 1 x 11Defined Color SilverRange 11-36Color Silver,87.00,USD
3335799,,Intel CPU Core i7 9700F (1151/3 GHz/12 MB),,4.299E2,EUR
39417365,,"RAM Long Length Double Socket Arm for 1.5\"" Balls","The RAM-201U-D, long double socket arm, has a socket at both ends that accommodates 1.5\"" ball bases. A single spring inside the arm opens the end sockets, allowing you to pivot the ball and socket connection. This socket technology allows for almost infinite adjustment and perfect viewing angles.SpecificationsDimensions:Overall Length: 9.125\""Socket-To-Socket Length: 8\""Material: Powder Coated Marine Grade AluminiumBall: C size 1.5\"" rubberAccessoriesCompatibilityRelated ItemsNotesThe \""U\"" in the part number reflects product packaged in poly bag.InstructionsVideos Warranty RAM Warranty",7.395E1,AUD
50155742,,ASUS ROG Strix X570-F Gaming scheda madre Presa AM4 ATX AMD X570,"ROG Strix X570-F Gaming, AMD X570, 4x DIMM DDR4, HDMI, DP, PCIe 4.0 x16, M.2, SATA III, 1G LAN, USB 3.2, S/PDIF, ATX, 305x244 mm",361.37,EUR
65129957,,LaCie Rugged Thunderbolt USB-C 2TB,,,
89069794,,Epson Premium Glossy Photo Paper 255gsm A2 25 sheets,"High quality resin coated 255g/m² paper with the weight & texture of true silver halide media. This RC (Resin-Coated) based photo paper with high gloss, smooth, cockle free surface, is an exciting media for advance-level amateurs, photographers and graphic artists. The perfect paper for the photographer looking for that quality feel.",36.99,GBP
30539466,,Kingston DataTraveler® G4 16GB USB3.0 Flash Drive - DTIG4/16GB,"USB 3.0 in a colorful designKingston’s DataTraveler® Generation 4 (DTIG4) USB Flash drive features USB 3.0 for quick and easy transfers of music, video and more. Its practical design and fashionable colors make it ideal for everyday use at work, home, school or wherever you need to take your data.It’s backwards compatible with existing USB 2.0 ports, allowing 2.0 users to migrate to 3.0 in the future without replacing their drive.DTIG4 is backed by a five-year warranty, free technical support and legendary Kingston®",450.00,PHP
14768243,,T1700G-28TQ Switch Smart 24xGE 4xSFP+,,1268.88,PLN
75249284,,Pen Drive SanDisk 16GB Cruzer Force USB 2.0,,"4,65",EUR
33078108,Corsair,Corsair ML140 140mm PWM Premium Magnetic Levitation Fan - Twin Pack,"Product InformationIf NASA Designed a Computer Case Fan – This Would Be ItCorsair ML Series of PWM fans magnetic levitation technology and custom engineered rotors provide unrivaled performance and low noise. Thanks to its innovative design, the ML Series fans delivers both high static pressure and high air flow for a superior fan experience.Magnetic BearingHarnesses magnetic levitation technology to provide lower noise, higher performance, and a longer lifespan.Custom Rotor DesignDelivers the perfect balance between high static pressure and high airflow, operating flawlessly in the most challenging environments Extensive Control RangeA 1,600 RPM PWM control range gives you total control between low noise and absolute performance. With a 1,600 RPM PWM control range, The ML Series fans deliver total control between low noise and airflow without compromise.Contents and SpecificationsPackage contents(x2) ML140 140mm PWM Premium Magnetic Levitation FanFan mounting screwsSystem RequirementsMotherboard with an open standard 4-pin fan connectorShow more;",33.97,GBP
62807515,Bosch,Bosch KGN34NWEAG 60cm Frost Free Fridge Freezer,"Innovative Cooling FeaturesThanks to Bosch’s FreshSense technology, the KGN34NWEAG has sensors which monitor and control the perfect climate for your compartments, meaning your food can maintain an even temperature and retain more flavour. Plus, with the Multi Airflow System, this fridge freezer maintains an even air distribution for longer freshness, and ensures that smells aren’t transferred between foods.As the Bosch KGN34NWEAG has No Frost technology, your fridge freezer will be completely free of ice, and you’ll never have to worry about manually defrosting your appliance again.Do you find it difficult to read the expiry date on items you’ve bought? With the handy LED light, your food is kept in the spotlight, so you can see your contents’ every detail.Superb Storage OptionsThe fridge has four glass shelves, one salad bin, and three door balconies, making it easier for you to store foods such as milk and eggs. For even more cooling space, there are three clear drawers in the freezer, so you won’t need to rummage through, seeing clearly what you have inside.Plus, the four star rated freezer has 128 litres of space, so you’ll be able to store leftovers and ice-cream tubs effortlessly. It also has a storage period of up to 19 hours in case of power failure, to keep your food safe.Finished in a sleek white design and with reversible doors, the KGN34NWEAG will fit seamlessly anywhere in your kitchen. What’s more, this Bosch fridge freezer has an energy rating of A++, to be kinder on the environment as well as your wallet.With a capacity of 324 litres, this freestanding fridge freezer has plenty of storage space for your groceries. Fantastic cooling technology on the Bosch KGN34NWEAG makes it the perfect addition for your home. Why not add one to your basket today?",449.00,GBP
69980659,Nikon,Nikon 50mm AF-S f1.8G Nikkor Lens,F-Mount Lens/FX FormatAperture Range: f/1.8 to f/16One Aspherical ElementSuper Integrated CoatingSilent Wave Motor AF SystemRounded 7-Blade Diaphragm,165.83,GBP
85223368,,Asus Phoenix PH-GTX1660S-O6G GeForce GTX 1660 SUPER Graphic Card - 6 GB GDDR6,"The ASUS Phoenix GeForce® GTX 1660 SUPER™ OC edition 6GB GDDR6 rocks high refresh rates for an FPS advantage without breaking a sweat. OC Edition: Boost Clock 1830 MHz (OC Mode)/ 1800 MHz (Gaming Mode) The GeForce GTX 1660 SUPER is up to 20% faster than the original GTX 1660 and up to 1.5X faster than the previous-generation GTX 1060 6GB. Powered by the award-winning NVIDIA Turing™ architecture and ultra-fast GDDR6 memory, it's a supercharger for today's most popular games. Time to gear up and get SUPER. Ultra-fast GDDR6 with over 50% more memory bandwidth for high-speed gaming. GeForce Experience: Capture and share videos, screenshots, and livestreams with friends. Keep your drivers up-to-date and optimize game settings. GeForce Experience lets you do it all, making it the essential companion to your GeForce graphics card. Wing-blade fan design incorporates drooped tips on each blade to reduce drag. IP5X dust resistance offerGeneral Information Manufacturer: ASUS Computer International Manufacturer Part Number: PH-GTX1660S-O6G Brand Name: Asus Product Line: Phoenix Product Model: PH-GTX1660S-O6G Product Name: Phoenix GeForce GTX 1660 SUPER OC Edition Graphic Card Product Type: Graphic Card Technical Information API Supported: OpenGL 4.6, DirectX 12 Number of Monitors Supported: 3 Processor & Chipset Chipset Manufacturer: NVIDIA Chipset Line: GeForce Chipset Series: GTX 16 Chipset Model: GTX 1660 SUPER GPU Clock: 1.53 GHz GPU Boost Clock: 1.83 GHz Memory Standard Memory: 6 GB Memory Technology: GDDR6 Bus Width: 192 bit Interfaces/Ports DisplayPort: Yes Number of DisplayPort Outputs: 1 HDMI: Yes Number of HDMI Outputs: 1 DVI: Yes Total Number of DVI Outputs: 1 Number of DVI-D Ports: 1 Physical Characteristics Slot Space Required: Dual Form Factor: Plug-in Card Cooler Type: Fan Cooler Height: 1.5\"" Width: 4.8\"" Length: 6.9\"" Miscellaneous Platform Supported: PC Environmentally Friendly: Yes Environmental Certification: RoHS Warranty Limited Warranty: 36 Month",263.79,USD
50944416,,Corsair Vengeance LPX CMK8GX4M1A2666C16 8GB (1x8GB) 2666Mhz DDR4,"Corsair Vengeance LPX 8GB (1x8GB), PC4-21300 (2666MHz) DDR4, 16-18-18-35, 1.2v, Single Stick",59.00,AUD
2008347,Shimano,Shimano Shimano Cs-R9100 Cassette 11-28t Dura-Ace 11-Speed,"If you haven't had Dura-Ace before make sure you get it, the crisp smooth shift will have you finding hill just so you can change gears.",324.99,AUD
53072167,Corsair,Crystal Series 460X RGB Compact ATX Mid-Tower Case - CC-9011101-WW,"CORSAIR Crystal Series 460X RGBTempered Glass, Compact ATX Mid-Tower Case",178.56,USD
19056011,SanDisk,SanDisk 128GB Extreme SDSDXV5-128G-GNCIN SDXC Memory Card C10 U3 V30 UHS-I,SDSDXV5-128G-GNCIN CYU 128GB 9pin SDXC r150MB/s w70MB/s C10 U3 V30 UHS-I SanDisk Extreme SDXC Memory Card Gold in Clam Retail,28.85,USD
69487298,Hydro Flask,Hydro Flask 32 oz. Wide Mouth 2.0 Flex Cap Sunflower,"Hydro Flask 32 oz. Wide Mouth 2.0 Flex Cap Sunflower in Medicine Hat, Alberta, Canada",40.79,CAD
